          TicketID:                            234665                      
          Name:                            Enter Name                      
          DropOffDate:                            Enter Date                      
          PickupDate:                            Enter Date                      
          Device:                            -1                      
          Diagnosis:                            HDMI                      
          Repair:                            0                      
          Notes:                            Enter Repair Notes Here...Enter NameEnter NameEnter NameEnter NameEnter NameEnter Name                      
          Time:                            1.5                      
          Costs:                            150.0                      
          Status:                            0                      
